demanda_preajuste,inventario_preajuste,produccion_preajuste,precio_preajuste,volatilidad_precio,subida_brusca_precio,escasez
1652.0,0.0,1570.0,1554.0,427.22119,1,0
1625.0,0.0,1570.0,1709.0,469.94669,1,0
1579.0,0.0,1570.0,1880.0,516.30614,1,0
1536.0,2.0,1555.0,2062.0,564.24775,1,0
1497.0,20.0,1532.0,2238.0,607.25727,1,0
1457.0,40.0,1481.0,2360.0,647.25587,1,0
1423.0,45.0,1453.0,2500.0,676.54581,1,0
1543.0,0.0,1172.0,9.0,0.5,0,1
1547.0,0.0,1310.0,10.0,0.8165,0,0
1558.0,0.0,1459.0,11.0,1.11803,0,0
1538.0,0.0,1624.0,12.0,1.16619,0,0
1584.0,67.0,1627.0,12.0,1.1547,1,0
1526.0,77.0,1680.0,12.0,1.06904,0,0
1578.0,160.0,1615.0,11.0,1.0,0,0
1504.0,140.0,1565.0,11.0,0.99381,0,0
1596.0,141.0,1486.0,10.0,0.9434,0,0
1569.0,22.0,1585.0,11.0,0.95346,0,0
1573.0,27.0,1654.0,12.0,0.91287,0,0
1563.0,74.0,1585.0,11.0,0.87706,0,0
1508.0,67.0,1574.0,11.0,0.88352,0,0
1547.0,94.0,1516.0,10.0,0.85375,0,0
1504.0,44.0,1559.0,11.0,0.8268,0,0
1585.0,70.0,1573.0,11.0,0.80225,0,0
1566.0,41.0,1653.0,11.0,0.77976,0,0
1570.0,89.0,1565.0,11.0,0.75906,0,0
1547.0,59.0,1603.0,11.0,0.73993,0,0
1545.0,80.0,1614.0,11.0,0.63246,0,0
1530.0,104.0,1598.0,10.0,0.73993,0,0
1578.0,121.0,1509.0,9.0,0.76811,0,0
1531.0,37.0,1606.0,10.0,0.74833,0,0
1523.0,78.0,1568.0,10.0,0.71414,0,0
1541.0,87.0,1527.0,10.0,0.66332,1,0
1558.0,51.0,1528.0,10.0,0.66895,0,0
1554.0,15.0,1633.0,10.0,0.67082,0,0
1532.0,66.0,1560.0,10.0,0.67082,0,0
1567.0,66.0,1522.0,10.0,0.67082,0,0
1567.0,14.0,1644.0,11.0,0.58949,0,0
1558.0,64.0,1666.0,11.0,0.5831,0,0
1557.0,121.0,1557.0,10.0,0.57228,0,0
1546.0,94.0,1518.0,10.0,0.57228,0,0
1533.0,47.0,1496.0,10.0,0.55678,0,0
1556.0,10.0,1604.0,10.0,0.55678,0,0
1565.0,41.0,1638.0,11.0,0.55678,0,0
1548.0,79.0,1658.0,11.0,0.53619,0,0
1571.0,132.0,1632.0,10.0,0.57228,0,0
1603.0,135.0,1624.0,9.0,0.58949,0,0
1519.0,109.0,1634.0,9.0,0.73993,0,0
1547.0,157.0,1526.0,8.0,0.83066,0,0
1599.0,97.0,1462.0,8.0,0.85294,0,0
1639.0,0.0,1627.0,9.0,0.85294,1,0
1665.0,0.0,1810.0,10.0,0.85294,1,0
1663.0,102.0,1779.0,10.0,0.87178,1,0
1702.0,153.0,1679.0,9.0,0.88741,0,0
1794.0,92.0,1719.0,9.0,0.88741,0,0
1856.0,12.0,1896.0,10.0,0.88741,0,0
1855.0,37.0,1958.0,10.0,0.84261,1,0
1875.0,99.0,1886.0,10.0,0.79215,1,0
1963.0,78.0,1887.0,10.0,0.84261,0,0
2021.0,6.0,2059.0,11.0,0.88741,0,0
2057.0,37.0,2120.0,11.0,0.92736,0,0
2141.0,70.0,2089.0,11.0,1.04403,1,0
2126.0,19.0,2211.0,12.0,1.11692,0,0
2198.0,73.0,2230.0,12.0,1.18322,0,0
2159.0,74.0,2255.0,12.0,1.26095,0,0
2246.0,120.0,2167.0,12.0,1.38203,0,0
2266.0,29.0,2278.0,13.0,1.46629,0,0
2361.0,29.0,2411.0,13.0,1.44482,0,0
2439.0,56.0,2398.0,13.0,1.46544,1,0
2509.0,10.0,2516.0,14.0,1.62096,1,0
2520.0,34.0,2671.0,15.0,1.772,1,0
2592.0,131.0,2600.0,15.0,1.87816,1,0
2618.0,98.0,2566.0,15.0,1.96469,1,0
2709.0,32.0,2693.0,16.0,1.98683,0,0
2807.0,37.0,2703.0,16.0,2.2243,1,0
2829.0,0.0,2992.0,18.0,2.37224,1,0
2839.0,116.0,2855.0,18.0,2.44694,1,0
2881.0,93.0,2896.0,18.0,2.4551,1,0
2996.0,76.0,2906.0,18.0,2.6533,1,0
3019.0,0.0,3217.0,20.0,2.76541,1,0
3130.0,139.0,3076.0,20.0,2.80179,1,0
3208.0,60.0,3125.0,20.0,3.01662,1,0
3217.0,0.0,3456.0,22.0,3.05737,0,0
3347.0,168.0,3287.0,21.0,3.10604,0,0
3415.0,76.0,3326.0,22.0,3.24769,1,0
3331.0,19.0,3632.0,24.0,3.20936,0,0
3477.0,225.0,3341.0,22.0,3.17017,0,0
3546.0,63.0,3495.0,23.0,3.2078,1,0
3450.0,13.0,3797.0,25.0,3.15278,0,0
3376.0,252.0,3429.0,24.0,3.04959,0,0
3299.0,214.0,3467.0,23.0,2.85088,0,0
3285.0,267.0,3296.0,22.0,2.57439,0,0
3198.0,194.0,3124.0,21.0,2.35531,0,0
3094.0,85.0,3199.0,22.0,2.07063,0,0
3136.0,134.0,3117.0,22.0,1.96214,0,0
2971.0,80.0,3095.0,23.0,1.81315,0,0
2914.0,144.0,2952.0,23.0,1.61245,0,0
2816.0,127.0,2910.0,23.0,1.33697,0,0
2777.0,155.0,2735.0,23.0,1.24097,0,0
2701.0,79.0,2817.0,23.0,1.11692,0,0
2683.0,137.0,2811.0,23.0,0.96307,0,0
2644.0,187.0,2692.0,22.0,0.96307,0,0
2473.0,164.0,2534.0,22.0,0.9,0,0
2535.0,158.0,2429.0,22.0,0.88741,0,0
2459.0,37.0,2494.0,23.0,0.88741,0,0
2428.0,50.0,2606.0,24.0,0.88741,0,0
2371.0,161.0,2460.0,22.0,0.9,0,0
2294.0,175.0,2425.0,22.0,0.9206,0,0
2306.0,214.0,2159.0,20.0,0.9,0,0
2223.0,47.0,2275.0,21.0,0.88741,0,0
2200.0,70.0,2304.0,22.0,0.88741,0,0
2167.0,122.0,2188.0,22.0,0.84261,0,0
2123.0,102.0,2168.0,22.0,0.84261,0,0
2096.0,101.0,1998.0,22.0,0.85294,0,0
2070.0,11.0,2174.0,23.0,0.84261,0,0
1976.0,81.0,2157.0,22.0,0.96307,0,0
1958.0,182.0,1922.0,20.0,1.04881,0,0
1929.0,102.0,1926.0,20.0,1.04403,0,0
1846.0,69.0,2021.0,21.0,1.18743,0,0
1866.0,174.0,1784.0,19.0,1.15758,0,0
1768.0,66.0,1834.0,21.0,1.20416,0,0
1748.0,94.0,1767.0,20.0,1.24097,0,0
1695.0,79.0,1757.0,20.0,1.26886,0,0
1663.0,99.0,1718.0,20.0,1.39553,0,0
1659.0,107.0,1622.0,18.0,1.28841,0,0
1597.0,49.0,1586.0,19.0,1.26886,0,0
1561.0,26.0,1663.0,20.0,1.24097,0,0
1584.0,89.0,1581.0,20.0,1.24097,1,0
1509.0,61.0,1535.0,20.0,1.28452,0,0
1540.0,61.0,1535.0,19.0,1.24097,0,0
1544.0,39.0,1535.0,20.0,1.19478,0,0
1514.0,21.0,1622.0,21.0,1.14455,0,0
1526.0,91.0,1549.0,21.0,1.07703,0,0
1525.0,79.0,1478.0,20.0,0.86458,0,0
1554.0,23.0,1549.0,20.0,0.86458,0,0
1610.0,13.0,1620.0,22.0,1.07703,0,0
1565.0,16.0,1727.0,23.0,1.14455,0,0
1561.0,125.0,1648.0,22.0,1.14455,0,0
1511.0,150.0,1495.0,21.0,1.11355,0,0
1560.0,94.0,1533.0,21.0,1.16082,0,0
1550.0,48.0,1606.0,22.0,1.1619,0,0
1539.0,72.0,1545.0,21.0,1.2,0,0
1559.0,55.0,1612.0,22.0,1.22882,0,0
1522.0,77.0,1589.0,22.0,1.09087,0,0
1549.0,102.0,1561.0,22.0,1.02347,0,0
1559.0,82.0,1480.0,22.0,1.17792,0,0
1529.0,4.0,1623.0,24.0,1.2,0,0
1528.0,68.0,1644.0,23.0,1.16082,0,0
1511.0,128.0,1473.0,21.0,1.02347,0,0
